[2024-12-05T00:27:48.391751+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:27:52.041556+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:27:53.926877+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:29:20.929292+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:29:24.211903+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:29:26.010574+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:29:35.461002+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:30:53.840962+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:33:10.022936+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:33:11.569748+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:33:13.928457+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:33:22.789256+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:33:24.502837+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:33:56.808286+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:33:57.699422+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:34:00.510230+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:34:01.826589+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
